              table_name               |            column_name             |        data_type         | character_maximum_length | numeric_precision | numeric_scale | is_nullable 
 card_split_simulacoes                 | created_at                         | timestamp with time zone |                          |                   |               | YES
 card_split_simulacoes                 | updated_at                         | timestamp with time zone |                          |                   |               | YES
 card_transacoes_brutas                | id                                 | uuid                     |                          |                   |               | NO
 card_transacoes_brutas                | user_id                            | uuid                     |                          |                   |               | NO
 card_transacoes_brutas                | banco_cartao_id                    | uuid                     |                          |                   |               | YES
 card_transacoes_brutas                | adquirente                         | text                     |                          |                   |               | NO
 card_transacoes_brutas                | bandeira                           | text                     |                          |                   |               | YES
 card_transacoes_brutas                | nsu                                | text                     |                          |                   |               | YES
 card_transacoes_brutas                | autorizacao                        | text                     |                          |                   |               | YES
 card_transacoes_brutas                | data_venda                         | date                     |                          |                   |               | NO
 card_transacoes_brutas                | data_prevista_recebimento          | date                     |                          |                   |               | YES
 card_transacoes_brutas                | data_recebimento                   | date                     |                          |                   |               | YES
 card_transacoes_brutas                | tipo_transacao                     | text                     |                          |                   |               | NO
 card_transacoes_brutas                | parcelas                           | integer                  |                          |                32 |             0 | NO
 card_transacoes_brutas                | parcela_atual                      | integer                  |                          |                32 |             0 | NO
 card_transacoes_brutas                | valor_bruto                        | numeric                  |                          |                15 |             2 | NO
 card_transacoes_brutas                | taxa_mdr                           | numeric                  |                          |                 8 |             6 | NO
 card_transacoes_brutas                | valor_taxa                         | numeric                  |                          |                15 |             2 | NO
 card_transacoes_brutas                | valor_liquido                      | numeric                  |                          |                15 |             2 | NO
 card_transacoes_brutas                | status_auditoria                   | text                     |                          |                   |               | NO
 card_transacoes_brutas                | conciliado                         | boolean                  |                          |                   |               | NO
 card_transacoes_brutas                | arquivo_origem                     | text                     |                          |                   |               | YES
 card_transacoes_brutas                | observacoes                        | text                     |                          |                   |               | YES
 card_transacoes_brutas                | created_at                         | timestamp with time zone |                          |                   |               | YES
 card_transacoes_brutas                | updated_at                         | timestamp with time zone |                          |                   |               | YES
 card_transacoes_brutas                | tipo_arquivo                       | text                     |                          |                   |               | YES
 card_transacoes_brutas                | empresa_id                         | uuid                     |                          |                   |               | YES
 card_transacoes_brutas                | valor_extrato_bancario             | numeric                  |                          |                15 |             2 | YES
 card_transacoes_brutas                | data_conciliacao                   | timestamp with time zone |                          |                   |               | YES
 card_transacoes_brutas                | score_conciliacao                  | numeric                  |                          |                 5 |             2 | YES
 categorias                            | id                                 | uuid                     |                          |                   |               | NO
 categorias                            | user_id                            | uuid                     |                          |                   |               | NO
 categorias                            | nome                               | text                     |                          |                   |               | NO
 categorias                            | tipo                               | text                     |                          |                   |               | NO
 categorias                            | descricao                          | text                     |                          |                   |               | YES
 categorias                            | ativo                              | boolean                  |                          |                   |               | NO
 categorias                            | created_at                         | timestamp with time zone |                          |                   |               | NO
 categorias                            | updated_at                         | timestamp with time zone |                          |                   |               | NO
 categorias                            | plano_conta_id                     | uuid                     |                          |                   |               | YES
 categorias                            | empresa_id                         | uuid                     |                          |                   |               | YES
 certificados_nfse                     | id                                 | uuid                     |                          |                   |               | NO
 certificados_nfse                     | user_id                            | uuid                     |                          |                   |               | NO
 certificados_nfse                     | nome                               | text                     |                          |                   |               | NO
 certificados_nfse                     | arquivo_path                       | text                     |                          |                   |               | YES
